accession,abundance WT,abundance FRDA,p-value
O43286,106394.95119093976,282805.50020518265,0.001084585320993513
Q7KZF4,2023789.3556314,3049482.043322396,0.0023161915247983484
P09661,787486.4938807894,505642.1351226424,0.0011861974421888276
Q9BXB4,39378.8661642827,24854.480599859333,0.0020327968879992916
P22090,1167701.3176469335,1650723.0820991702,0.0014691118221550833
Q9HC38,550962.6490785546,751265.9717222606,0.0010017358799116018
P00918,32398.724974118497,2519.404955101237,0.006763753598866974
Q3LXA3,469376.9875794533,694791.2632459487,0.0021453063712639233
Q8IY21,74158.99865656113,6071.073043425294,0.011386113386693531
P51571,61275.76603560197,98105.66281562991,0.0012487143473473275
Q9UHR4,35891.2805245729,150854.85877247833,0.0001686032530694494
P09382,808494.172983738,1350787.50557248,0.0015802925676710968
O60493,223686.60055739366,96333.6580652487,0.005740914256965385
Q8IXQ6,156082.10787420618,19075.9186097973,0.02270917335814463
O94868,79147.86682845028,50918.866670715004,0.0010515562824940758
Q6DN90,36322.30400436564,8600.249314450104,0.004596674088770263
Q8TCB0,84026.74955322266,9458.807388107298,0.003175515980374764
P24752,375367.06214379304,704687.8853096078,0.0016213960173303537
Q9H8H0,4882.341288669039,12692.986718070533,0.0024220118300659964
P54578,849453.2747980161,507124.4978152484,0.0042235121093346165
P40937,116805.648525674,75412.20322405633,0.004193671642572228
Q5UE93,185191.59984383767,304346.8777358493,0.0014705657733496628
P50440,74358.55670110632,131296.93404105434,0.0018829678401269957
Q8TDB6,67454.71827796932,6186.559370750293,0.038833407640142856
O14879,211682.048982179,86981.30890246517,0.008319818558185544
P09960,599643.7419890162,459509.73372224206,0.0020349380176846086
Q16666,813529.057347904,458424.357516893,0.0070432353811451815
Q9H6A0,23093.377466756432,63473.73189099924,0.0004743984610707659
O15116,128946.62047818834,92685.28316302481,0.00398549475007003
P17050,95587.12289105234,48653.106395554736,0.005588240288911663
Q9Y6B6,304146.3609322477,202980.66054166798,0.0026424245487087724
Q8TEQ6,206288.07016397236,247184.02122900737,0.003557215185874019
P49755,194202.58310111702,274567.2058639846,0.0035234173881913294
Q16555,1197183.3354979332,2362023.7896190365,0.0034655715823176153
Q16658,2819105.8786655534,5474726.441194256,0.0028445072857866656
P46952,250525.014196776,558928.897600631,0.0006931967241886518
Q8IUX4,19797.0122287694,59226.9078137856,0.011981013188289563
P00813,561503.6943773133,1836199.5690478098,0.0018385570743386748
O43491,88862.8787007673,26080.791218006798,0.00994253326284064
Q03001,43114.342962311996,71010.00738345466,0.002576878205371244
Q86UE4,626147.3946450376,1350947.14233884,0.0028231473976873386
Q9NZZ3,176893.23276552637,95428.69470034442,0.004580412692751662
P30101,4094344.797398457,5463530.47669747,0.003489692638959068
Q8TDN6,55945.5403195167,34899.51499236463,0.0081161964933618
P00973,72185.08125424814,19253.8992870339,0.017819779711274564
O76094,429837.65425651264,549458.9194142175,0.0034551028044596302
Q8N584,85589.80932969514,44571.065297119,0.0023410593201372656
Q15555,183565.71007423368,70488.42423661744,0.004761609479512262
P13797,957945.7871722673,1811476.36321307,0.010724432970405056
Q9NUU7,57029.5267991398,76665.12668252375,0.006324394374284183
Q6P9H5,58776.7700687061,84288.33635402587,0.005635998733523922
Q9UPN9,73615.84726081754,46943.40536090654,0.007013381202273003
P18124,5157935.34798381,7627574.61028025,0.0026639536558035765
Q9H0R4,93081.5419759426,57705.81875173224,0.0019490737239896568
Q9BUK6,60690.61842436204,88192.68607823092,0.0068665090021199915
P52564,36957.97318355427,62857.19989078947,0.006943306396894105
Q96CG3,89583.0205253947,118830.05917028866,0.004610475134370011
Q9UKT5,50775.98533367703,71967.3157707349,0.0036018528556815642
O00425,986152.60881234,364840.991964292,0.01513004369488663
Q9ULK4,62333.53592839301,32198.643875600534,0.005108709803260221
Q99538,391324.5455211263,687458.7680808777,0.006030316473065272
P49736,1324341.0284185365,823905.4876298966,0.006182525866752965
O95249,65892.03552618962,97796.6509411055,0.010503305446240003
O43175,634853.7376041594,306078.456179117,0.005652364539279862
Q9UK41,58116.39708775351,34627.547940328834,0.00589423983636373
Q8N1G2,141070.935091502,65964.08945129994,0.014114253302565216
Q9BZL6,150838.625150211,109214.60056026107,0.0051837059465587206
P08195,76063.25403565753,105039.8061998313,0.006695391007755575
P40938,146254.805537185,90241.57016461581,0.005647694302120401
O95816,167664.99161094133,94163.25652029218,0.002804712170110871
P22307,263573.80115598737,146460.560360953,0.00311143379265748
O95881,422569.5410970593,298915.6824067303,0.008791695067703624
A2RUS2,18948.313926398332,36142.765175282664,0.009484356149994143
